Articulation name,Channel,Symbol,Input,Selector,Value start,Value end,Mode,Output 1,Channel,Selector,Value,Output 2,Channel,Selector,Value,Output 3,Channel,Selector,Value
stacc,,,Note On,24,,,,Note On,1,24,127,Controller,,1,0,,,,
detache short,,,,,,,,Note On,1,24,127,Controller,,1,40,,,,
detache long vib,,,,,,,,Note On,1,24,127,Controller,,1,80,,,,
sus vib,,,Note On,25,,,,Note On,1,25,127,Controller,,1,0,,,,
sus novib,,,,,,,,Note On,1,25,127,Controller,,1,40,,,,
sus vib expr,,,,,,,,Note On,1,25,127,Controller,,1,80,,,,
sus vib prog,,,,,,,,Note On,1,25,127,Controller,,1,120,,,,
fp vib,,,Note On,26,,,,Note On,1,26,127,Controller,,1,0,,,,
sfz vib,,,,,,,,Note On,1,26,127,Controller,,1,40,,,,
sffz vib,,,,,,,,Note On,1,26,127,Controller,,1,80,,,,
perf legato,,,Note On,27,,,,Note On,1,27,127,Controller,,1,0,,,,
perf trill,,,,,,,,Note On,1,27,127,Controller,,1,40,,,,
perf marc,,,,,,,,Note On,1,27,127,Controller,,1,80,,,,
perf porta,,,,,,,,Note On,1,27,127,Controller,,1,120,,,,
perf rep leg sl,,,Note On,28,,,,Note On,1,28,127,Controller,,1,0,,,,
perf rep port me,,,,,,,,Note On,1,28,127,Controller,,1,40,,,,
perf rep spicc,,,,,,,,Note On,1,28,127,Controller,,1,80,,,,
perf rep harsh,,,,,,,,Note On,1,28,127,Controller,,1,120,,,,
rep 150bpm,,,Note On,29,,,,Note On,1,29,127,Controller,,1,0,,,,
rep 160bpm,,,,,,,,Note On,1,29,127,Controller,,1,40,,,,
rep 180bpm,,,,,,,,Note On,1,29,127,Controller,,1,80,,,,
rep 200bpm,,,,,,,,Note On,1,29,127,Controller,,1,120,,,,
trill Trem,,,Note On,30,,,,Note On,1,30,127,Controller,,1,0,,,,
trill 1,,,,,,,,Note On,1,30,127,Controller,,1,40,,,,
trill 2,,,,,,,,Note On,1,30,127,Controller,,1,80,,,,
pizz,,,Note On,31,,,,Note On,1,31,127,Controller,,1,0,,,,
pizz Bartok,,,,,,,,Note On,1,31,127,Controller,,1,40,,,,
col legno,,,,,,,,Note On,1,31,127,Controller,,1,80,,,,
harmonic sus,,,Note On,32,,,,Note On,1,32,127,Controller,,1,0,,,,
harmonic stac,,,,,,,,Note On,1,32,127,Controller,,1,40,,,,
harmonic perf rep,,,,,,,,Note On,1,32,127,Controller,,1,80,,,,
sul pont sus,,,Note On,33,,,,Note On,1,33,127,Controller,,1,0,,,,
sul pont stacc,,,,,,,,Note On,1,33,127,Controller,,1,40,,,,
sul pont perf leg,,,,,,,,Note On,1,33,127,Controller,,1,80,,,,
sul pont trem,,,,,,,,Note On,1,33,127,Controller,,1,120,,,,
